"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount","input","output","cache_read","cache_write"
"2025-10-01","power-user-001_emu","copilot","copilot_ai_credit","Claude Haiku 4.5","2.541","ai-credits","0.01","0.02541","0.02541","0","1900","","","","0","0","23","1166","57581","11038"
"2025-10-01","power-user-001_emu","copilot","copilot_ai_credit","Claude Opus 4.5","22.44","ai-credits","0.01","0.2244","0.2244","0","1900","","","","0","0","2","196","0","35118"
"2025-10-01","power-user-001_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","49.14","ai-credits","0.01","0.4914","0.4914","0","1900","","","","0","0","10","8762","249745","76002"
"2025-10-01","power-user-001_emu","copilot","copilot_ai_credit","Gemini 3 Pro","10.35","ai-credits","0.01","0.1035","0.1035","0","1900","","","","0","0","37759","311","121237","0"
"2025-10-01","power-user-001_emu","copilot","copilot_ai_credit","GPT-5.1","5.2","ai-credits","0.01","0.052","0.052","0","1900","","","","0","0","9252","744","70851","0"
"2025-10-01","power-user-001_emu","copilot","copilot_ai_credit","GPT-5.1-Codex","52.78","ai-credits","0.01","0.5278","0.5278","0","1900","","","","0","0","37418","10382","1811286","0"
"2025-10-01","power-user-002_emu","copilot","copilot_ai_credit","Claude Opus 4.5","12","ai-credits","0.01","0.12","0.12","0","1900","","","","0","0","2","790","41326","12733"
"2025-10-01","power-user-003_emu","copilot","copilot_ai_credit","Claude Opus 4.5","9.36","ai-credits","0.01","0.0936","0.0936","0","1900","","","","0","0","1","75","0","14674"
"2025-10-01","power-user-004_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","30.42","ai-credits","0.01","0.3042","0.3042","0","1900","","","","0","0","48653","1868","434044","0"
"2025-10-01","power-user-005_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","333.06","ai-credits","0.01","3.3306","3.3306","0","1900","","","","0","0","820884","34277","1179302","0"
"2025-10-01","power-user-006_emu","copilot","copilot_ai_credit","GPT-5","26","ai-credits","0.01","0.26","0.26","0","1900","","","","0","0","87187","1906","53779","0"
"2025-10-01","power-user-007_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","354.9","ai-credits","0.01","3.549","3.549","0","1900","","","","0","0","93","77570","3330036","369643"
"2025-10-01","user001_emu","copilot","copilot_ai_credit","Claude Opus 4.1","67.2","ai-credits","0.01","0.672","0.672","0","3900","org001_emu","","cost_center_001","0","0","11","7892","203188","59689"
"2025-10-01","user001_emu","copilot","copilot_ai_credit","Claude Sonnet 4","5.98","ai-credits","0.01","0.0598","0.0598","0","3900","org001_emu","","cost_center_001","0","0","1","2023","38662","4760"
"2025-10-01","user001_emu","copilot","copilot_ai_credit","GPT-5","6.8","ai-credits","0.01","0.068","0.068","0","3900","org001_emu","","cost_center_001","0","0","2337","2853","77433","0"
"2025-10-01","user002_emu","copilot","copilot_ai_credit","Claude Sonnet 4","69","ai-credits","0.01","0.69","0.69","0","3900","org002_emu","","cost_center_001","0","0","28","13133","692542","76042"
"2025-10-01","user003_emu","copilot","copilot_ai_credit","Claude Sonnet 4","77.74","ai-credits","0.01","0.7774","0.7774","0","1900","org003_emu","","cost_center_001","0","0","312","3933","1390760","80063"
"2025-10-01","user043_emu","copilot","coding_agent_ai_credit","Coding Agent model","198.9","ai-credits","0.01","1.989","1.989","0","1900","org001_emu","","cost_center_001","0","0","317486","33261","4843976","19362"
"2025-10-01","","copilot","copilot_ai_credit","Code Review model","329.12","ai-credits","0.01","3.2912","3.2912","0","0","org001_emu","","cost_center_001","0","0","798689","134578","53715","0"
"2025-10-01","user044_emu","copilot","copilot_ai_credit","Claude Opus 4.1","77.28","ai-credits","0.01","0.7728","0.7728","0","1900","org005_emu","","cost_center_004","0","0","11","7029","462295","58539"
"2025-10-01","user045_emu","copilot","copilot_ai_credit","Claude Opus 4.1","252","ai-credits","0.01","2.52","2.52","0","3900","org005_emu","","","0","0","7","14172","252897","326276"
"2025-10-01","user045_emu","copilot","coding_agent_ai_credit","Coding Agent model","1086.75","ai-credits","0.01","10.8675","10.8675","0","3900","org005_emu","","","0","0","1591245","156715","18154671","0"
"2025-10-01","user046_emu","copilot","copilot_ai_credit","GPT-5","254.8","ai-credits","0.01","2.548","2.548","0","3900","org004_emu","","","0","0","645303","23493","2329417","0"
"2025-10-01","user047_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","233.22","ai-credits","0.01","2.3322","2.3322","0","1900","org001_emu","","cost_center_001","0","0","82","53341","1537296","285505"
