"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2025-10-01","power-user-001_emu","copilot","copilot_premium_request","Claude Haiku 4.5","3.6300000000000003","requests","0.04","0.1452","0.1452","0","False","300","","","2.541","0.02541"
"2025-10-01","power-user-001_emu","copilot","copilot_premium_request","Claude Opus 4.5","11","requests","0.04","0.44","0.44","0","False","300","","","22.44","0.2244"
"2025-10-01","power-user-001_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","9","requests","0.04","0.36","0.36","0","False","300","","","49.14","0.4914"
"2025-10-01","power-user-001_emu","copilot","copilot_premium_request","Gemini 3 Pro","9","requests","0.04","0.36","0.36","0","False","300","","","0","0"
"2025-10-01","power-user-001_emu","copilot","copilot_premium_request","GPT-5.1","4","requests","0.04","0.16","0.16","0","False","300","","","5.2","0.052"
"2025-10-01","power-user-001_emu","copilot","copilot_premium_request","GPT-5.1-Codex","7","requests","0.04","0.28","0.28","0","False","300","","","52.78","0.5278"
"2025-10-01","power-user-002_emu","copilot","copilot_premium_request","Claude Opus 4.5","5","requests","0.04","0.2","0.2","0","False","300","","","12","0.12"
"2025-10-01","power-user-003_emu","copilot","copilot_premium_request","Claude Opus 4.5","3","requests","0.04","0.12","0.12","0","False","300","","","9.36","0.0936"
"2025-10-01","power-user-004_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","","","30.42","0.3042"
"2025-10-01","power-user-005_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","61","requests","0.04","2.44","2.44","0","False","300","","","333.06","3.3306"
"2025-10-01","power-user-006_emu","copilot","copilot_premium_request","GPT-5","20","requests","0.04","0.8","0.8","0","False","300","","","26","0.26"
"2025-10-01","power-user-007_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","35","requests","0.04","1.4","1.4","0","False","300","","","354.9","3.549"
"2025-10-01","user001_emu","copilot","copilot_premium_request","Claude Opus 4.1","40","requests","0.04","1.6","1.6","0","False","1000","org001_emu","cost_center_001","67.2","0.672"
"2025-10-01","user001_emu","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04","0.04","0","False","1000","org001_emu","cost_center_001","5.98","0.0598"
"2025-10-01","user001_emu","copilot","copilot_premium_request","GPT-5","8","requests","0.04","0.32","0.32","0","False","1000","org001_emu","cost_center_001","6.8","0.068"
"2025-10-01","user002_emu","copilot","copilot_premium_request","Claude Sonnet 4","15","requests","0.04","0.6","0.6","0","False","1000","org002_emu","cost_center_001","69","0.69"
"2025-10-01","user003_emu","copilot","copilot_premium_request","Claude Sonnet 4","13","requests","0.04","0.52","0.52","0","False","300","org003_emu","cost_center_001","77.74","0.7774"
"2025-10-01","user043_emu","copilot","copilot_premium_request","Coding Agent model","52","requests","0.04","2.08","2.08","0","False","300","org001_emu","cost_center_001","198.9","1.989"
"2025-10-01","","copilot","copilot_premium_request","Code Review model","121","requests","0.04","4.84","4.84","0","False","0","org001_emu","cost_center_001","329.12","3.2912"
"2025-10-01","user044_emu","copilot","copilot_premium_request","Claude Opus 4.1","46","requests","0.04","1.84","1.84","0","False","300","org005_emu","cost_center_004","77.28","0.7728"
"2025-10-01","user045_emu","copilot","copilot_premium_request","Claude Opus 4.1","105","requests","0.04","4.2","4.2","0","False","1000","org005_emu","","252","2.52"
"2025-10-01","user045_emu","copilot","copilot_premium_request","Coding Agent model","210","requests","0.04","8.4","8.4","0","False","1000","org005_emu","","1086.75","10.8675"
"2025-10-01","user046_emu","copilot","copilot_premium_request","GPT-5","196","requests","0.04","7.84","7.84","0","False","1000","org004_emu","","254.8","2.548"
"2025-10-01","user047_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","23","requests","0.04","0.92","0.92","0","False","300","org001_emu","cost_center_001","233.22","2.3322"
"2025-10-01","user047_emu","copilot","copilot_premium_request","Coding Agent model","12","requests","0.04","0.48","0.48","0","False","300","org001_emu","cost_center_001","62.1","0.621"
"2025-10-01","user048_emu","copilot","copilot_premium_request","Claude Sonnet 4","99","requests","0.04","3.96","3.96","0","False","1000","org003_emu","cost_center_002","523.71","5.2371"
"2025-10-01","user049_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","62","requests","0.04","2.48","2.48","0","False","1000","org004_emu","","628.68","6.2868"
"2025-10-01","user049_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","123","requests","0.04","4.92","4.92","0","False","1000","org004_emu","","671.58","6.7158"
"2025-10-01","user050_emu","copilot","copilot_premium_request","Coding Agent model","36","requests","0.04","1.44","1.44","0","False","300","org002_emu","cost_center_001","137.7","1.377"
"2025-10-01","user051_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","81","requests","0.04","3.24","3.24","0","False","1000","org001_emu","cost_center_002","537.03","5.3703"
"2025-10-01","user052_emu","copilot","copilot_premium_request","Claude Opus 4.1","129","requests","0.04","5.16","5.16","0","False","1000","org001_emu","","263.16","2.6316"
"2025-10-01","user053_emu","copilot","copilot_premium_request","Claude Sonnet 4","118","requests","0.04","4.72","4.72","0","False","1000","org004_emu","cost_center_002","461.38","4.6138"
"2025-10-01","user054_emu","copilot","copilot_premium_request","Code Review model","28","requests","0.04","1.12","1.12","0","False","300","org005_emu","cost_center_002","0","0"
"2025-10-01","user055_emu","copilot","copilot_premium_request","Claude Opus 4.1","9","requests","0.04","0.36","0.36","0","False","300","org004_emu","cost_center_002","21.6","0.216"
"2025-10-01","user055_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","18","requests","0.04","0.72","0.72","0","False","300","org004_emu","cost_center_002","98.28","0.9828"
"2025-10-01","user056_emu","copilot","copilot_premium_request","Claude Sonnet 4","37","requests","0.04","1.48","1.48","0","False","1000","org003_emu","","195.73","1.9573"
"2025-10-01","user057_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","15","requests","0.04","0.6","0.6","0","False","300","org003_emu","cost_center_003","152.1","1.521"
"2025-10-01","user058_emu","copilot","copilot_premium_request","Coding Agent model","64","requests","0.04","2.56","2.56","0","False","1000","org001_emu","cost_center_003","374.4","3.744"
